ISIN,Ticker,Company,Sector
DE000BAY0017,BAYN.DE,Bayer,Healthcare
US4581401001,INTC,Intel Corp,Technology
US4592001014,IBM,IBM,Technology
CA13321L1085,CCJ,Cameco,Energy
DE0007236101,SIE.DE,Siemens,Technology
AU0000185993,IREN,IREN Limited,Technology
US5949181045,MSFT,Microsoft,Technology
IE00B1XNHC34,IQQH.DE,iShares Global Clean Energy Transition (Dist),Energy
US0079031078,AMD,Advanced Micro Devices,Technology
GB0009895292,AZN,AstraZeneca,Healthcare
FR0000120578,SAN.PA,Sanofi,Healthcare
DE000EWG2LD7,EWG2.SG,Boerse Stuttgart EUWAX Gold II,Commodities
US0420682058,ARM,Arm Holdings ADR,Technology
IE000I8KRLL9,SEC0.DE,iShares MSCI Global Semiconductors (Acc),Technology
DE000A3DSV01,HIGH.DE,Cantourage Group,Cannabis
US46222L1089,IONQ,IonQ,Technology
DE0007164600,SAP.DE,SAP SE,Technology
DE0005557508,DTE.DE,Deutsche Telekom,Telecom
XS3306517098,3BRS.MI,WisdomTree Brent Crude Oil 3x Daily Short,Commodities
IE00B4NCWG09,ISLN.L,iShares Physical Silver ETC (Acc),Commodities
IE00B3WJKG14,QDVE.DE,iShares S&P 500 Information Technology Sector (Acc),Technology
US0231351067,AMZN,Amazon.com,Technology
US26740W1099,QBTS,D-Wave Quantum,Technology
US02079K3059,1GOOGL.MI,Alphabet A,
FR0013416716,GOLD.AS,Amundi Physical Gold ETC,
US0378331005,AAPL,Apple,
US2473617023,DAL,Delta Air Lines,
DE0008232125,LHA.DE,Deutsche Lufthansa,
US5324571083,LLY,Eli Lilly & Co,
US3570231007,RAIL,Freightcar America,
US46122W3034,INUV,Inuvo,
US67066G1040,NVDA,NVIDIA,
US6979471090,PVLA,Palvella Therapeutics,
US8334451098,US8334451098.SG,Snowflake A,
US8740391003,TSM,Taiwan Semiconductor Manufact. ADR,Technology
US9100471096,UAL,United Airlines Holdings,
IE00BMTM6D55,3BRL.L,WisdomTree Brent Crude Oil 3x Daily Leveraged,
IE00BLRPRK35,3BRS.MI,WisdomTree Brent Crude Oil 3x Daily Short,
