ISIN,Ticker,Company,Sector
DE000BAY0017,BAYN.DE,Bayer,Healthcare
US4581401001,INTC,Intel Corp,Technology
US4592001014,IBM,IBM,Technology
CA13321L1085,CCJ,Cameco,Energy
DE0007236101,SIE.DE,Siemens,Technology
AU0000185993,IREN,Iren,Energy
US5949181045,MSFT,Microsoft,Technology
IE00B1XNHC34,IQQH.DE,iShares Global Clean Energy Transition (Dist),Energy
US0079031078,AMD,Advanced Micro Devices,Technology
GB0009895292,AZN,AstraZeneca,Healthcare
FR0000120578,SAN.PA,Sanofi,Healthcare
DE000EWG2LD7,EWG2.SG,Boerse Stuttgart EUWAX Gold II,Commodities
US0420682058,ARM,Arm Holdings ADR,Technology
IE000I8KRLL9,SEC0.DE,iShares MSCI Global Semiconductors (Acc),Technology
DE000A3DSV01,HIGH.DE,Cantourage Group,Cannabis
US46222L1089,IONQ,IonQ,Technology
DE0007164600,SAP.DE,SAP SE,Technology
DE0005557508,DTE.DE,Deutsche Telekom,Telecom
XS3306517098,3BRS.MI,WisdomTree Brent Crude Oil 3x Daily Short,Commodities
IE00B4NCWG09,ISLN.L,iShares Physical Silver ETC (Acc),Commodities
IE00B3WJKG14,QDVE.DE,iShares S&P 500 Information Technology Sector (Acc),Technology
US0231351067,AMZN,Amazon.com,Technology
US26740W1099,QBTS,D-Wave Quantum,Technology
